WARD_NUM,NAME,COMM_CODE,SECTOR,CLASS,CLASS_CODE,SRG,COMM_STRUCTURE
9,09H,09H,EAST,Residual Sub Area,4,N/A,UNDEVELOPED
10,10E,10E,NORTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
9,09Q,09Q,EAST,Residual Sub Area,4,N/A,UNDEVELOPED
12,12C,12C,SOUTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
3,HARVEST HILLS,HAR,NORTH,Residential,1,BUILT-OUT,1980s/1990s
9,ALYTH/BONNYBROOK,AYB,CENTRE,Industrial,2,N/A,EMPLOYMENT
14,BONAVISTA DOWNS,BDO,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
5,MARTINDALE,MRT,NORTHEAST,Residential,1,BUILT-OUT,1980s/1990s
1,01F,01F,NORTHWEST,Residual Sub Area,4,N/A,UNDEVELOPED
6,06B,06B,WEST,Residual Sub Area,4,N/A,UNDEVELOPED
12,12A,12A,SOUTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
9,09O,09O,EAST,Residual Sub Area,4,N/A,UNDEVELOPED
7,DOWNTOWN COMMERCIAL CORE,DNC,CENTRE,Residential,1,BUILT-OUT,CENTRE CITY
12,HOTCHKISS,HKS,SOUTHEAST,Residential,1,DEVELOPING,BUILDING OUT
2,SYMONS VALLEY RANCH,SVR,NORTH,Residential,1,DEVELOPING,BUILDING OUT
8,SOUTH CALGARY,SOC,CENTRE,Residential,1,BUILT-OUT,INNER CITY
11,GLENMORE PARK,GPK,SOUTH,Major Park,3,N/A,PARKS
4,BEDDINGTON HEIGHTS,BED,NORTH,Residential,1,BUILT-OUT,1960s/1970s
11,MAYFAIR,MAF,CENTRE,Residential,1,BUILT-OUT,1950s
14,CHAPARRAL,CHA,SOUTH,Residential,1,DEVELOPING,BUILDING OUT
6,WEST SPRINGS,WSP,WEST,Residential,1,DEVELOPING,BUILDING OUT
7,BANFF TRAIL,BNF,CENTRE,Residential,1,BUILT-OUT,1950s
1,ROYAL VISTA,RYV,NORTHWEST,Industrial,2,N/A,
12,MCKENZIE TOWNE,MCT,SOUTHEAST,Residential,1,DEVELOPING,BUILDING OUT
12,EAST SHEPARD INDUSTRIAL,ESH,SOUTHEAST,Industrial,2,N/A,EMPLOYMENT
9,09D,09D,CENTRE,Residual Sub Area,4,N/A,UNDEVELOPED
11,LAKEVIEW,LKV,WEST,Residential,1,BUILT-OUT,1960s/1970s
4,SANDSTONE VALLEY,SAN,NORTH,Residential,1,BUILT-OUT,1980s/1990s
1,SCENIC ACRES,SCE,NORTHWEST,Residential,1,BUILT-OUT,1980s/1990s
2,GLACIER RIDGE,GLR,NORTH,Residential,1,DEVELOPING,
12,CRANSTON,CRA,SOUTHEAST,Residential,1,DEVELOPING,BUILDING OUT
11,OAKRIDGE,OAK,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
13,13C,13C,SOUTH,Residual Sub Area,4,N/A,UNDEVELOPED
2,EVANSTON,EVN,NORTH,Residential,1,DEVELOPING,BUILDING OUT
3,LIVINGSTON,LIV,NORTH,Residential,1,DEVELOPING,BUILDING OUT
14,QUEENSLAND,QLD,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
9,STARFIELD,STD,EAST,Industrial,2,N/A,EMPLOYMENT
5,05G,05G,NORTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
8,LOWER MOUNT ROYAL,LMR,CENTRE,Residential,1,BUILT-OUT,INNER CITY
5,05D,05D,NORTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
14,WALDEN,WAL,SOUTH,Residential,1,DEVELOPING,BUILDING OUT
2,02L,02L,NORTH,Residual Sub Area,4,N/A,UNDEVELOPED
