"REF_DATE","GEO","DGUID","Statistic","Age of reference person","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Total expenditure","Dollars","81","units","0","v54531000","1.1.1.1","82697","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Total expenditure","Dollars","81","units","0","v54531000","1.1.1.1","84489","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Total expenditure","Dollars","81","units","0","v54531000","1.1.1.1","86479","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Total expenditure","Dollars","81","units","0","v54531000","1.1.1.1","93724","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Total current consumption","Dollars","81","units","0","v54531001","1.1.1.2","60516","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Total current consumption","Dollars","81","units","0","v54531001","1.1.1.2","62183","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Total current consumption","Dollars","81","units","0","v54531001","1.1.1.2","63944","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Total current consumption","Dollars","81","units","0","v54531001","1.1.1.2","68980","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Food expenditures","Dollars","81","units","0","v54531002","1.1.1.3","8629","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Food expenditures","Dollars","81","units","0","v54531002","1.1.1.3","8784","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Food expenditures","Dollars","81","units","0","v54531002","1.1.1.3","8968","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Food expenditures","Dollars","81","units","0","v54531002","1.1.1.3","10311","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from stores","Dollars","81","units","0","v54531003","1.1.1.4","6126","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from stores","Dollars","81","units","0","v54531003","1.1.1.4","6176","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from stores","Dollars","81","units","0","v54531003","1.1.1.4","6364","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from stores","Dollars","81","units","0","v54531003","1.1.1.4","7536","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from restaurants","Dollars","81","units","0","v54531004","1.1.1.5","2502","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from restaurants","Dollars","81","units","0","v54531004","1.1.1.5","2608","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from restaurants","Dollars","81","units","0","v54531004","1.1.1.5","2604","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Food purchased from restaurants","Dollars","81","units","0","v54531004","1.1.1.5","2775","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Shelter","Dollars","81","units","0","v54531005","1.1.1.6","17509","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Shelter","Dollars","81","units","0","v54531005","1.1.1.6","18032","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Shelter","Dollars","81","units","0","v54531005","1.1.1.6","18640","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Shelter","Dollars","81","units","0","v54531005","1.1.1.6","20200","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Principal accommodation","Dollars","81","units","0","v54531006","1.1.1.7","15802","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Principal accommodation","Dollars","81","units","0","v54531006","1.1.1.7","16293","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Principal accommodation","Dollars","81","units","0","v54531006","1.1.1.7","16811","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Principal accommodation","Dollars","81","units","0","v54531006","1.1.1.7","18371","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Rented living quarters","Dollars","81","units","0","v54531007","1.1.1.8","3790","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Rented living quarters","Dollars","81","units","0","v54531007","1.1.1.8","3868","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Rented living quarters","Dollars","81","units","0","v54531007","1.1.1.8","4038","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Rented living quarters","Dollars","81","units","0","v54531007","1.1.1.8","4160","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Owned living quarters","Dollars","81","units","0","v54531008","1.1.1.9","9534","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Owned living quarters","Dollars","81","units","0","v54531008","1.1.1.9","9965","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Owned living quarters","Dollars","81","units","0","v54531008","1.1.1.9","10287","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Owned living quarters","Dollars","81","units","0","v54531008","1.1.1.9","11676","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54531009","1.1.1.10","2478","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54531009","1.1.1.10","2460","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54531009","1.1.1.10","2486","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54531009","1.1.1.10","2535","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Other accommodation","Dollars","81","units","0","v54531010","1.1.1.11","1707","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Other accommodation","Dollars","81","units","0","v54531010","1.1.1.11","1739","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Other accommodation","Dollars","81","units","0","v54531010","1.1.1.11","1829","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Other accommodation","Dollars","81","units","0","v54531010","1.1.1.11","1829","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Household operations","Dollars","81","units","0","v54531011","1.1.1.12","4490","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Household operations","Dollars","81","units","0","v54531011","1.1.1.12","4704","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Household operations","Dollars","81","units","0","v54531011","1.1.1.12","4709","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Household operations","Dollars","81","units","0","v54531011","1.1.1.12","5448","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Communications","Dollars","81","units","0","v54531012","1.1.1.13","2187","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Communications","Dollars","81","units","0","v54531012","1.1.1.13","2246","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Communications","Dollars","81","units","0","v54531012","1.1.1.13","2404","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Communications","Dollars","81","units","0","v54531012","1.1.1.13","2670","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Household furnishings and equipment","Dollars","81","units","0","v54531013","1.1.1.14","2166","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Household furnishings and equipment","Dollars","81","units","0","v54531013","1.1.1.14","2300","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Household furnishings and equipment","Dollars","81","units","0","v54531013","1.1.1.14","2271","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Household furnishings and equipment","Dollars","81","units","0","v54531013","1.1.1.14","2486","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Household furnishings","Dollars","81","units","0","v54531014","1.1.1.15","947","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Household furnishings","Dollars","81","units","0","v54531014","1.1.1.15","935","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Household furnishings","Dollars","81","units","0","v54531014","1.1.1.15","973","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Household furnishings","Dollars","81","units","0","v54531014","1.1.1.15","1124","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Household equipment","Dollars","81","units","0","v54531015","1.1.1.16","1088","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Household equipment","Dollars","81","units","0","v54531015","1.1.1.16","1218","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Household equipment","Dollars","81","units","0","v54531015","1.1.1.16","1140","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Household equipment","Dollars","81","units","0","v54531015","1.1.1.16","1218","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Household appliances","Dollars","81","units","0","v54531016","1.1.1.17","465","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Household appliances","Dollars","81","units","0","v54531016","1.1.1.17","537","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Household appliances","Dollars","81","units","0","v54531016","1.1.1.17","533","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Household appliances","Dollars","81","units","0","v54531016","1.1.1.17","582","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Clothing and accessories","Dollars","81","units","0","v54531017","1.1.1.18","3374","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Clothing and accessories","Dollars","81","units","0","v54531017","1.1.1.18","3371","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Clothing and accessories","Dollars","81","units","0","v54531017","1.1.1.18","3453","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Clothing and accessories","Dollars","81","units","0","v54531017","1.1.1.18","3344","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","All classes","Transportation","Dollars","81","units","0","v54531022","1.1.1.23","11761","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","All classes","Transportation","Dollars","81","units","0","v54531022","1.1.1.23","11909","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","All classes","Transportation","Dollars","81","units","0","v54531022","1.1.1.23","12721","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","All classes","Transportation","Dollars","81","units","0","v54531022","1.1.1.23","12737","","","","0"
